,ID,date,promotion,match_fixture,meltzer_rating,match_type,rating,votes
0,1,13.08.2019,World Wrestling Entertainment,Drew Gulak vs. Oney Lorcan,,Singles,8.11,17
1,3,12.08.2019,New Japan Pro Wrestling,Clark Connors & Karl Fredericks vs. Ren Narita & Yota Tsuji,***3/4,Tag Team, , 
2,5,12.08.2019,World Wrestling Entertainment,Cedric Alexander vs. Drew McIntyre,,Singles,7.58,37
3,7,12.08.2019,New Japan Pro Wrestling,Hiroshi Tanahashi & Kazuchika Okada vs. Minoru Suzuki & Zack Sabre Jr.,****1/2,Tag Team,7.82,59
4,9,11.08.2019,New Japan Pro Wrestling,"Clark Connors, KENTA & Karl Fredericks vs. Kota Ibushi, Toa Henare & Tomoaki Honma",***1/2,Six Man Tag Team, , 
5,11,11.08.2019,All Japan Pro Wrestling,Hitoshi Kumano & Naoya Nomura vs. Jun Akiyama & Takashi Sugiura,,Tag Team,7.00,11
6,13,11.08.2019,New Japan Pro Wrestling,Taichi vs. Tomohiro Ishii,****1/2,Singles,8.85,103
7,15,11.08.2019,New Japan Pro Wrestling,Jon Moxley vs. Juice Robinson,****1/4,Singles,7.74,77
8,17,11.08.2019,World Wrestling Entertainment,Becky Lynch vs. Natalya,***1/4,Submission,6.51,103
9,19,11.08.2019,World Wrestling Entertainment,Charlotte Flair vs. Trish Stratus,***1/4,Singles,7.44,111
10,21,10.08.2019,New Japan Pro Wrestling,Bad Luck Fale vs. SANADA,***1/2,Singles, , 
11,23,10.08.2019,New Japan Pro Wrestling,KENTA vs. Zack Sabre Jr.,****1/2,Singles,8.69,114
12,25,10.08.2019,New Japan Pro Wrestling,Kazuchika Okada vs. Kota Ibushi,*****,Singles,9.54,146
13,27,10.08.2019,World Wrestling Entertainment,Candice LeRae vs. Io Shirai,****1/4,Singles,8.73,170
14,29,10.08.2019,World Wrestling Entertainment,Adam Cole vs. Johnny Gargano,****,Best Two Out Of Three Falls,8.66,168
15,31,09.08.2019,Ring Of Honor,Bandido   & Mark Haskins vs. Jay Lethal & Jonathan Gresham,,Tag Team,6.77,12
16,33,08.08.2019,New Japan Pro Wrestling,Jay White vs. Juice Robinson,****,Singles,8.12,92
17,35,08.08.2019,New Japan Pro Wrestling,Jeff Cobb vs. Tetsuya Naito,***3/4,Singles,6.83,52
18,37,07.08.2019,New Japan Pro Wrestling,KENTA vs. Will Ospreay,****1/2,Singles,8.36,94
19,39,07.08.2019,New Japan Pro Wrestling,EVIL vs. Kazuchika Okada,****3/4,Singles,8.54,98
20,41,06.08.2019,World Wrestling Entertainment,Akira Tozawa vs. Ariya Daivari vs. Gentleman Jack Gallagher vs. Kalisto vs. Oney Lorcan vs. Tony Nese,,Six Pack Challenge ,6.44,8
21,43,05.08.2019,Consejo Mundial De Lucha Libre,Electrico  vs. Virus,****,Singles, , 
22,45,04.08.2019,Pro Wrestling NOAH,Kotaro Suzuki vs. Naomichi Marufuji,,Singles,7.46,12
23,47,04.08.2019,New Japan Pro Wrestling,Jay White vs. Jon Moxley,***3/4,Singles,7.42,113
24,49,03.08.2019,Impact Wrestling,Michael Elgin vs. Rich Swann,,Singles,7.90,9
25,51,03.08.2019,Westside Xtreme Wrestling,Absolute Andy vs. Alpha Kevin vs. Avalanche       vs. Chris Brookes vs. David Starr vs. El Lindaman vs. Emil Sitoci vs. Francis Kaspin vs. Ilja Dragunov vs. Ivan Kiev vs. Jay Skillet vs. Julian Pace vs. Jurn Simmons vs. Kyle Fletcher vs. Leon van Gasteren vs. Levaniel vs. Maggot vs. Marius Al-Ani vs. Mark Davis vs. Mike Schwarz vs. Norman Harras vs. Oliver Carter vs. Prince Ahura vs. Sha Samuels vs. Shigehiro Irie vs. T-Hawk vs. The Rotation vs. Timothy Thatcher vs. Vinny Vortex vs. WALTER,,30 Man Shortcut To The Top,6.50,5
26,53,03.08.2019,New Japan Pro Wrestling,EVIL vs. Will Ospreay,****1/2,Singles,8.60,132
27,55,03.08.2019,New Japan Pro Wrestling,Kazuchika Okada vs. SANADA,*****,Singles,9.25,174
28,57,03.08.2019,Lucha Libre AAA World Wide,"Carta Brava Jr. , Mocho Cota Jr. & Tito Santana  vs. El Hijo del Vikingo, Golden Magic & Myzteziz Jr. vs. Mamba, Maximo & Pimpinela Escarlata",***3/4,Three Way Nine Man Tag Team,7.23,21
